"Spinach-and-oven-roasted-tomato-omelet-306176"|"Spinach and Oven-Roasted Tomato Omelet"|"Food Republic"|"5"|"1500"|"None"|"'olive oil', 'large eggs', 'baby spinach leaves', 'tomatoes', 'feta cheese'"
"Omelet-in-a-Cup-1267421"|"Omelet in a Cup"|"Once a Month Meals"|"4"|"900"|"None"|"'eggs', 'broccoli', 'diced tomatoes', 'sliced mushrooms', 'shredded cheddar cheese'"
"Greek-Breakfast-Omelet-1999368"|"Greek Breakfast Omelet"|"tabitha.talks.food."|"4"|"1080"|"'meaty': 0.5, 'salty': 0.8333333333333334, 'sour': 0.5, 'piquant': 0.16666666666666666, 'bitter': 0.6666666666666666, 'sweet': 0.16666666666666666"|"'eggs', 'milk', 'butter', 'extra-virgin olive oil', 'spinach', 'kalamata', 'roasted red peppers', 'marinated artichoke hearts', 'garlic', 'dried oregano', 'dried basil', 'salt', 'pepper', 'feta cheese crumbles', 'cherry tomatoes'"
"Baked-Western-Omelet-1203701"|"Baked Western Omelet"|"The Seasoned Mom"|"4"|"3600"|"'meaty': 0.5, 'salty': 0.8333333333333334, 'sour': 0.8333333333333334, 'piquant': 0.3333333333333333, 'bitter': 0.6666666666666666, 'sweet': 0.16666666666666666"|"'eggs', 'milk', 'seasoning salt', 'cooked ham', 'shredded cheddar cheese', 'finely chopped onion', 'chopped green bell pepper', 'red bell pepper', 'fresh chives'"
"Breakfast-Omelets-1633625"|"Breakfast Omelets"|"Female Foodie"|"4"|"1800"|"'meaty': 0.16666666666666666, 'salty': 0.6666666666666666, 'sour': 0.6666666666666666, 'piquant': 0.0, 'bitter': 0.6666666666666666, 'sweet': 0.16666666666666666"|"'diced ham', 'sharp cheddar cheese', 'fresh spinach', 'mushrooms', 'tomatoes', 'green onions', 'eggs', 'milk', 'salt', 'extra-virgin olive oil'"
"Simple-Cheese-Omelet-1186972"|"Simple Cheese Omelet"|"Food Republic"|"4"|"1200"|"'meaty': 0.8333333333333334, 'salty': 0.8333333333333334, 'sour': 0.16666666666666666, 'piquant': 0.0, 'bitter': 0.8333333333333334, 'sweet': 0.16666666666666666"|"'eggs', 'salt', 'black pepper', 'butter oil', 'cheese'"
"Spanish-Omelet-1080705"|"Spanish Omelet"|"Velveeta Brand"|"5"|"3000"|"'meaty': 0.16666666666666666, 'salty': 0.5, 'sour': 0.6666666666666666, 'piquant': 0.16666666666666666, 'bitter': 0.5, 'sweet': 0.16666666666666666"|"'green pepper', 'onions', 'garlic', 'KRAFT Zesty Italian Dressing', 'red potato', 'Oscar Mayer Deli Fresh Smoked Ham', 'eggs', 'milk', 'Velveeta', 'chopped fresh cilantro'"
"Denver-Omelet-1019387"|"Denver Omelet"|"Serious Eats"|"5"|"2100"|"'meaty': 0.6666666666666666, 'salty': 0.8333333333333334, 'sour': 0.5, 'piquant': 0.16666666666666666, 'bitter': 0.8333333333333334, 'sweet': 0.16666666666666666"|"'canola oil', 'ham', 'green pepper', 'white onion', 'button mushrooms', 'cheddar cheese', 'butter', 'salt', 'pepper', 'large eggs'"
"Puffy-Omelet-1767228"|"Puffy Omelet"|"Olga's Flavor Factory"|"4"|"2100"|"'meaty': 0.16666666666666666, 'salty': 0.5, 'sour': 0.16666666666666666, 'piquant': 0.0, 'bitter': 0.5, 'sweet': 0.16666666666666666"|"'eggs', 'milk', 'salt', 'pepper', 'butter', 'panko breadcrumbs', 'fresh parsley'"
"Spanish-Potato-Omelet-1997694"|"Spanish Potato Omelet"|"Going My Wayz"|"4"|"9600"|"'meaty': 0.16666666666666666, 'salty': 0.5, 'sour': 0.16666666666666666, 'piquant': 0.0, 'bitter': 0.5, 'sweet': 0.16666666666666666"|"'nonstick spray', 'russet potatoes', 'olive oil', 'chopped onion', 'salt', 'black pepper', 'eggs', 'shredded reduced fat cheddar cheese', 'tomatoes'"
"Omelet-in-Ziploc-Bag-1204780"|"Omelet in Ziploc Bag"|"Tidy Mom"|"4"|"900"|"'meaty': 0.8333333333333334, 'salty': 0.16666666666666666, 'sour': 0.16666666666666666, 'piquant': 0.0, 'bitter': 0.16666666666666666, 'sweet': 0.16666666666666666"|"'eggs', 'veggies', 'cheese', 'meat'"
"Western-Omelet-1070528"|"Western Omelet"|"Recipes, Food and Cooking"|"4"|"900"|"None"|"'eggs', 'water', 'chopped ham', 'green pepper', 'chopped onion', 'cheese', 'salt', 'pepper', 'butter'"
"Resort-Omelets-979077"|"Resort Omelets"|"An Affair From The Heart"|"4"|"2100"|"'meaty': 0.16666666666666666, 'salty': 0.6666666666666666, 'sour': 0.8333333333333334, 'piquant': 0.16666666666666666, 'bitter': 0.5, 'sweet': 0.16666666666666666"|"'eggs', 'milk', 'salt', 'pepper', 'vegetable oil', 'bacon', 'ham', 'bell pepper', 'onions', 'mushrooms', 'cheese', 'tomatoes'"
"Cheesy-western-omelets-303449"|"Cheesy Western Omelets"|"Unilever North America"|"4"|"1500"|"None"|"'eggs', 'milk', 'salt', 'ground black pepper', 'Country Crock® Spread', 'green bell pepper', 'onions', 'shredded cheddar cheese'"
"Denver-Omelet-1587458"|"Denver Omelet"|"The Girl Who Ate Everything"|"4"|"2400"|"'meaty': 0.8333333333333334, 'salty': 0.8333333333333334, 'sour': 0.5, 'piquant': 0.16666666666666666, 'bitter': 0.8333333333333334, 'sweet': 0.16666666666666666"|"'butter', 'onions', 'green bell pepper', 'cooked ham', 'large eggs', 'milk', 'shredded cheese', 'salt', 'pepper'"
"Omelet-In-A-Mug-Allrecipes"|"Omelet in a Mug"|"AllRecipes"|"5"|"1020"|"None"|"'large eggs', 'egg whites', 'shredded cheddar cheese', 'fully cooked ham', 'green bell pepper', 'salt and ground black pepper', 'cooking spray'"
"Omelet-in-the-Microwave-1309749"|"Omelet in the Microwave"|"As receitas lá de casa"|"4"|"600"|"'meaty': 0.3333333333333333, 'salty': 0.5, 'sour': 0.16666666666666666, 'piquant': 0.0, 'bitter': 0.5, 'sweet': 0.16666666666666666"|"'fresh mushrooms', 'eggs', 'ham', 'coriander'"
"Denver-Omelet-1050015"|"Denver Omelet"|"Low Carb Recipes"|"4"|"2100"|"'meaty': 0.8333333333333334, 'salty': 0.8333333333333334, 'sour': 0.3333333333333333, 'piquant': 0.16666666666666666, 'bitter': 0.8333333333333334, 'sweet': 0.16666666666666666"|"'eggs', 'half & half', 'shredded cheddar cheese', 'ham', 'green pepper', 'chopped onion'"
"Vegetable-Omelet-1210948"|"Vegetable Omelet"|"The Candida Diet"|"3"|"1500"|"'meaty': 0.6666666666666666, 'salty': 0.8333333333333334, 'sour': 0.8333333333333334, 'piquant': 0.16666666666666666, 'bitter': 0.3333333333333333, 'sweet': 0.16666666666666666"|"'eggs', 'olive oil', 'onions', 'red pepper', 'fresh spinach', 'sea salt'"
"Muffin-Tin-Omelets-1876041"|"Muffin Tin Omelets"|"Southern Plate"|"4"|"2400"|"None"|"'eggs', 'heavy cream', 'shredded sharp cheddar cheese', 'chopped ham', 'green onions', 'salt', 'pepper'"
"Oven-Omelet-1067554"|"Oven Omelet"|"Thriving Home"|"4"|"2700"|"None"|"'eggs', 'milk', 'shredded cheddar cheese', 'chopped ham', 'pepper', 'dried parsley'"
"Omelets-989957"|"Omelets"|"Whole Foods Market"|"3"|"1200"|"None"|"'ground black pepper', 'fine sea salt', 'unsalted butter', 'eggs', 'milk', 'cooked bacon', 'cooked vegetables', 'grating cheese'"
"Omelet-in-a-Mug-1736367"|"Omelet in a Mug"|"The Country Cook"|"4"|"600"|"None"|"""Eggland's Best® eggs"", 'water', 'green pepper', 'yellow onion', 'ham', 'bacon', 'shredded cheddar cheese'"
"French-omelets-368530"|"French Omelets"|"Framed Cooks"|"4"|"1200"|"'meaty': 0.8333333333333334, 'salty': 0.3333333333333333, 'sour': 0.5, 'piquant': 0.3333333333333333, 'bitter': 0.6666666666666666, 'sweet': 0.16666666666666666"|"'eggs', 'butter', 'gruyere cheese', 'ground pepper', 'chopped parsley'"
