name,bitter,meaty,salty,sour,sweet,piquant,ingredients
"Easy-to-Make-Bread-Recipe-with-Healthy-Nuts-and-Seeds-2022710","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","raw almonds walnuts flax seeds sunflower seeds pumpkin seeds sesame seeds eggs sea salt"
"Pecan-Praline-Cookies-2022561","0.16666666666666666","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.8333333333333334","0.0","egg whites brown sugar vanilla pecans"
"Homemade-Buttermilk-Ranch-2023182","0.8333333333333334","0.3333333333333333","0.8333333333333334","0.3333333333333333","0.3333333333333333","0.0","mayonnaise buttermilk sour cream finely chopped fresh parsley dried chives onion powder garlic salt freshly ground black pepper milk"
"Banting-Cheese-Puffs-2022475","0.6666666666666666","0.8333333333333334","0.5","0.16666666666666666","0.16666666666666666","0.0","cream eggs cheese almond flour back bacon rashers onions"
"Homemade-Mozzarella-Sticks-with-String-Cheese-2018295","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","string cheese Italian style breadcrumbs eggs milk oil marinara sauce"
"Stamped-Sugar-Cookies-2023958","0.16666666666666666","0.8333333333333334","0.5","0.16666666666666666","0.6666666666666666","0.0","unsalted butter brown sugar large eggs vanilla flour baking powder salt"
"Vanilla-Sugar-Cookies-2023954","0.16666666666666666","0.8333333333333334","0.5","0.16666666666666666","0.6666666666666666","0.0","unsalted butter brown sugar large eggs vanilla flour baking powder salt"
"How-to-make-french-toast-306796","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.0","milk eggs sugar cinnamon salt challa butter oil"
"Italian-Calzones-2024656","0.6666666666666666","0.3333333333333333","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","active dry yeast warm water olive oil white sugar salt all-purpose flour sausages fresh mushrooms ricotta cheese shredded cheese pepperoni fresh basil leaves eggs marinara sauce"
"Ham-Omelet-Grilled-Cheese-Sandwich_-on-Ben_s-Honey-Wheat-Bread-2021004","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","large eggs milk salt sliced ham cheddar cheese wheat bread butter"
"Bacon-and-cheese-egg-mcmuffin-cups-334789","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.0","0.16666666666666666","0.0","English muffins cooked bacon shredded cheddar cheese large eggs kosher salt"
"2-Minute-Tuna-Salad-2021023","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.16666666666666666","0.6666666666666666","tuna mayonnaise mustard bell pepper cayenne salt pepper"
"Cream-Cheese-Lemon-Bars-2022986","0.6666666666666666","0.6666666666666666","0.8333333333333334","0.16666666666666666","0.8333333333333334","0.0","lemon cake mix vegetable oil eggs cream cheese lemon juice sugar"
"Coconut-Macaroons-2024507","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.8333333333333334","0.0","sweetened coconut flakes sweetened condensed milk vanilla extract large eggs salt sweet chocolate"
"Ramen-Bowl-2024280","0.8333333333333334","0.16666666666666666","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.8333333333333334","ramen beef broth boiled eggs green onions jalapeno chilies cilantro"
"Puff-Pizza-Ring-2024776","0.6666666666666666","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","puff pastry pizza sauce mozzarella cheese pepperoni slices parmesan cheese eggs"
"Mint-Chocolate-Donut-Holes-2024300","0.16666666666666666","0.5","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.5","butter sugar eggs mint extract all-purpose flour cocoa yeast baking chips vegetable oil glaze powdered sugar milk"
"Cold-Tuna-Macaroni-Salad-2024796","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","elbow macaroni tuna mayonnaise green pepper purple onion celery pepper"
"Easy-Cheesy-Mac-2019818","0.8333333333333334","0.6666666666666666","0.8333333333333334","0.16666666666666666","0.3333333333333333","0.0","elbow macaroni butter Velveeta shredded sharp cheddar cheese milk eggs salt"
"Coleslaw-2023891","0.5","0.16666666666666666","0.5","0.8333333333333334","0.5","0.0","mayonnaise sugar vinegar seasoning salt pepper slaw mix"
"Breakfast-Sticks-1096708","0.5","0.8333333333333334","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.0","oil bacon breakfast sausages green onions large eggs jack cheese"
